Interactions Report,,,,,,,,,
,From,,To,,,,,,
2517,RD protein,Generic binding protein,c-Fos,Transcription factor,Activation,Transcription regulation,x,RD protein co-activates transcription of c-Fos.,19014935;27353326;33852840
2518,SKAP55,Generic binding protein,RASSF5,Generic binding protein,Activation,Binding,x,SKAP1 binds to the membrane and RapL in an anti-CD3-independent manner. SKAP1 PH domain mediates anti-CD3 induced SKAP1 and RapL localization to membranes  and is needed for optimal augmentation of TCR-induced LFA-1 adhesion to ICAM-1.,21669874;24368808;28699640
2519,TR-beta,Transcription factor,cytochrome P-450 reductase,Generic enzyme,Activation,Transcription regulation,x,TR-beta activates transcription of cytochrome P-450 reductase.,21393444
2520,14-3-3 zeta/delta,Generic binding protein,NOTCH4 receptor,Generic receptor,Inhibition,Binding,x,14-3-3 zeta/delta interacts with NOTCH4 receptor and inhibits its activity.,25740432
2521,RPL22,Generic binding protein,p53,Transcription factor,Inhibition,Binding,x,RPL22 binds to and inhibits p53.,25468973;38580884
2522,WWP2,Generic enzyme,WWP1,Generic enzyme,Activation,Binding,x,WWP2 binds to and activates WWP1.,25071155;31097636
2523,FKHR,Transcription factor,Rictor,Generic binding protein,Activation,Transcription regulation,x,FoxO1 elevates Rictor mRNA and protein levels in mammalian cells.,20412774;24448243;29622548;36282572
2524,SOX11,Transcription factor,Spastin,Generic binding protein,Activation,Transcription regulation,x,SOX11 Activates SPAST Transcription.,22574173
2525,NRIP,Generic binding protein,CtBP2,Generic binding protein,Inhibition,Binding,x,NRIP binds to and inhibits CtBP2.,36688959
2526,BAF155,Generic binding protein,SOX2,Transcription factor,Activation,Transcription regulation,x,"ChIP-Seq assay was determinated that Brg and BAF155 coocupy ES  specific target genes  such as Sox2, Nanog, oct-3/4, an c-myc with similar profile.",19279218;21532573;23540691;29255264;30723142;34852960;36335117
2527,CBP,Generic enzyme,POLD reg (p50),Generic binding protein,Activation,Transcription regulation,x,CBP co-activates transcription of POLD reg (p50).,26004186
2528,ODF2,Generic binding protein,C14orf61,Protein,Activation,Binding,x,ODF2 binds to and activates C14orf61.,30623524
2529,MEF2A,Transcription factor,Phox1 (PRRX1),Transcription factor,Activation,Transcription regulation,x,MEF2A activates transcription of Phox1 (PRRX1).,25217591
2530,SETDB2,Generic enzyme,INSIG2,Generic binding protein,Activation,Transcription regulation,x,SETDB2 co-activates transcription of INSIG2.,27568546
2531,RPS27,Generic binding protein,MDM2,Generic enzyme,Inhibition,Binding,x,RPS27L or RPS27 binds to MDM2 and inhibits MDM2-induced p53 ubiquitination and extends p53 half-life.,21170087;21779508
2532,CTIP2,Transcription factor,AML1 (RUNX1),Transcription factor,Activation,Binding,x,CTIP2 binds to and activates AML1 (RUNX1).,28951542;30374131
2533,Lamin A/C,Generic binding protein,ING1,Generic binding protein,Activation,Binding,x,ING1 binds to lamin A through a LID and targeting of ING1 to the nucleus by lamin A maintains ING1 levels and biological function.,18836436
2534,MOZ,Generic enzyme,PI3K cat class IA (p110-alpha),Lipid kinase,Activation,Transcription regulation,x,MOZ co-activates transcription of PI3K cat class IA (p110-alpha).,29021135
2535,JARID2,Transcription factor,CIITA,Generic binding protein,Inhibition,Transcription regulation,x,JARID2 inhibits transcription of CIITA.,26283540
2536,SPOP,Generic binding protein,Reticulon 4,Receptor ligand,Inhibition,Binding,x,SPOP binds to and inhibits Reticulon 4.,36604567
2537,DHX33,Generic enzyme,BAD,Generic binding protein,Inhibition,Transcription regulation,x,DHX33 co-inhibits transcription of BAD.,31182639
2538,YY1,Transcription factor,LRRN3,Generic binding protein,Inhibition,Transcription regulation,x,YY1 inhibits transcription of LRRN3.,32092784;36847443
2539,GAS41,Transcription factor,GCL cat,Generic enzyme,Activation,Transcription regulation,x,GAS41 co-activates transcription of GCL cat.,38514704
2540,VDR,Transcription factor,RXRA,Transcription factor,Activation,Binding,x,VDR binds to and activates RXRA.,11124027;12529369;17520689;27234962;36639026;37024063
2541,YY1,Transcription factor,PPAR-beta(delta),Transcription factor,Inhibition,Transcription regulation,x,YY1 can bind to gene PPAR-beta(delta) promoter and suppress PPAR-beta(delta) expression.,17973082
2542,RBP-J kappa (CBF1),Transcription factor,TGF-beta 2,Receptor ligand,Activation,Transcription regulation,x,RBP-J kappa (CBF1) activates transcription of TGF-beta 2.,14701881;31249304;31526760
2543,ORC5L,Generic binding protein,GCN5,Generic enzyme,Activation,Binding,x,ORC5L binds to and activates GCN5.,26644179
2544,PHOGRIN,Generic receptor,Insulin receptor,Receptor with enzyme activity,Activation,Binding,x,PHOGRIN binds to and activates Insulin receptor.,19073770;29483197
2545,RING1,Generic enzyme,p21,Generic binding protein,Inhibition,Transcription regulation,x,RING1 co-inhibits transcription of p21.,25406515;26748712
2546,SOX2,Transcription factor,RPB5,Generic enzyme,Inhibition,Transcription regulation,x,SOX2 inhibits transcription of RPB5.,19884255;38951654
2547,SOX2,Transcription factor,IBTK,Generic binding protein,Activation,Transcription regulation,x,SOX2 activates transcription of IBTK.,33915080;38951654
2548,Mi-2 beta,Generic binding protein,POLD reg (p50),Generic binding protein,Activation,Transcription regulation,x,Mi-2 beta co-activates transcription of POLD reg (p50).,26814966
2549,RALGAPB,"Regulators (GDI, GAP, GEF)",AS250,"Regulators (GDI, GAP, GEF)",Activation,Binding,x,RALGAPB binds to and activates AS250.,21148297;34009715
2550,Cyclin D3,Generic binding protein,Androgen receptor,Transcription factor,Inhibition,Binding,x,Cyclin D3 associates with AR and employs  distinct mechanisms of transcriptional repression.,17698582;18084330;22207900
2551,C10orf46,Generic binding protein,PPAR-gamma,Transcription factor,Inhibition,Binding,x,C10orf46 binds to and inhibits PPAR-gamma.,29233982
2552,MeCP2,Generic binding protein,Zac1,Transcription factor,Inhibition,Transcription regulation,x,"Zac1 (Plagl1) was detected as direct MeCP2 target gene. The regions bound by MeCP2 were always methylated, suggesting the involvement of the methyl-CpG binding domain of the protein in the mechanism of interaction.",18989361
2553,UBE2S,Generic enzyme,WWP2,Generic enzyme,Activation,Binding,x,UBE2S binds to and activates WWP2.,22496338
2554,XPF,Generic enzyme,Rad52,Generic binding protein,Inhibition,Binding,x,XPF physically interacts with  Rad52 and decreases its activity.,14734547
2555,RBB2,Generic enzyme,ARHGEF10,"Regulators (GDI, GAP, GEF)",Inhibition,Transcription regulation,x,RBB2 co-inhibits transcription of ARHGEF10.,36347944
2556,IRF2BP2,Generic binding protein,ATF-3,Transcription factor,Inhibition,Transcription regulation,x,IRF2BP2 co-inhibits transcription of ATF-3.,31529495;33480129
2557,SRF,Transcription factor,Cadherin 11,Generic binding protein,Inhibition,Transcription regulation,x,SRF inhibits transcription of Cadherin 11.,23151848;33033234
2558,HSF2,Transcription factor,CDK5R1 (p35),Generic binding protein,Activation,Transcription regulation,x,HSF2 can bind to gene CDK5R1 (p35) promoter and activates CDK5R1 (p35) expression.,16600913;25027850
2559,Esrra,Transcription factor,HEY1,Transcription factor,Inhibition,Transcription regulation,x,Esrra inhibits transcription of HEY1.,30602497;32079653
2560,RXRA,Transcription factor,SMPD3,Generic enzyme,Activation,Transcription regulation,x,"SP1, SP3, RXRa and RARA bind to and activate the SMPD3 promoter.",22496486;36347014
2561,NDUFB2,Generic enzyme,IMP2,Generic binding protein,Inhibition,Binding,x,NDUFB2 binds to and inhibits IMP2.,33436560
2562,JMJD6,Generic enzyme,SIAH2,Generic enzyme,Activation,Transcription regulation,x,JMJD6 co-activates transcription of SIAH2.,29628309
2563,NCOA1 (SRC1),Generic enzyme,DEK,Generic binding protein,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of DEK.,29367763
2564,E4BP4,Transcription factor,Amphiregulin,Receptor ligand,Inhibition,Transcription regulation,x,Endogenous NFIL3 protein is associated with the region containing the CREB-binding site in the Areg promoter in periovulatory granulosa cells.,21212137
2565,Oct-1,Transcription factor,FGFR2,Receptor with enzyme activity,Activation,Transcription regulation,x,Oct-1 activates transcription of FGFR2.,18462018;32620845
2566,RXRA,Transcription factor,C/EBPalpha,Transcription factor,Activation,Transcription regulation,x,knockdown of RXRA downregulates C/EBPalpha gene expression moreover  RXRA inteacts with C/EBPalpha gene.,19129217;36347014
2567,EPAS1,Transcription factor,PTHrP,Receptor ligand,Activation,Transcription regulation,x,EPAS1 activates transcription of PTHrP.,20890122;25297632
2568,AP-4,Transcription factor,MSK1,Protein kinase,Activation,Transcription regulation,x,AP-4 activates transcription of MSK1.,23752226
2569,Rb protein,Generic binding protein,MITF,Transcription factor,Activation,Binding,x,,7824265;15716956
2570,beta-TrCP,Generic binding protein,RASSF3,Generic binding protein,Inhibition,Binding,x,beta-TrCP binds to and inhibits RASSF3.,25900982;28514442
2571,RPL11,Generic binding protein,p21,Generic binding protein,Activation,Transcription regulation,x,RPL11 is rapidly and transiently recruited at the p21 promoter during nucleolar stress,22081073
2572,En2,Transcription factor,BPAG1,Generic binding protein,Inhibition,Transcription regulation,x,"BPAG1e promoter activity is regulated by Engrailed, Hoxa-5, and Hoxc-8.",10504454
2573,GCR,Transcription factor,E4BP4,Transcription factor,Activation,Transcription regulation,x,E4BP4 is induced by activated glucocorticoid receptor.,19805059;19966186;21187916;23425966;23525215;25099603;28416324;30659202;32619221;36527388
2574,Sirtuin1,Generic enzyme,PPP4C,Protein phosphatase,Inhibition,Binding,x,Sirtuin1 binds to and inhibits PPP4C.,37309898
2575,UTY,Generic binding protein,FNBP1,Generic binding protein,Activation,Transcription regulation,x,UTY co-activates transcription of FNBP1.,23028370
2576,MAZR,Transcription factor,PPAR-gamma,Transcription factor,Activation,Transcription regulation,x,MAZR activates transcription of PPAR-gamma.,39358382
2577,IRF8,Transcription factor,FANCC,Generic binding protein,Activation,Transcription regulation,x,IRF8 activates transcription of FANCC.,23925293
2578,p53,Transcription factor,Mitofusin 2,Generic binding protein,Activation,Transcription regulation,x,p53 protein binds the Mfn2 promoter directly both in vitro and in vivo.,20804729;22510407;37379471
2579,SMAD2,Transcription factor,ID3,Transcription factor,Activation,Transcription regulation,x,SMAD2 activates transcription of ID3.,21731500;32402252
2580,NANOG,Transcription factor,Pim-1,Protein kinase,Activation,Transcription regulation,x,"STAT3 target genes  (Dact1, Klf4, Klf5, Rgs16, Smad7, Ccrn4l, Cnnm1, Ocln, Ier3, Pim1, Cyr61, Sgk, Stat3, 1700051K13Rik, and 5230400M03Rik) are transcriptionally regulated by Nanog.",19544440;19884255;33915080
2581,YY1,Transcription factor,TIP,Generic enzyme,Activation,Transcription regulation,x,YY1 activates transcription of TIP.,34063990
2582,RBP-J kappa (CBF1),Transcription factor,PIKE(CENTG1),"Regulators (GDI, GAP, GEF)",Inhibition,Transcription regulation,x,"Agap2  is most likely direct, endogenous targets of the N1ICD/RBPJ complex.",22232070
2583,RFX1,Transcription factor,DCDC2,Generic binding protein,Inhibition,Transcription regulation,x,RFX1 inhibits transcription of DCDC2.,27451412
2584,INO80C,Protein,GRP78,Generic binding protein,Activation,Transcription regulation,x,C18orf37 coregulates and activates GRP78 promoter.,17721549
2585,SOX2,Transcription factor,PDE8A,Generic enzyme,Activation,Transcription regulation,x,SOX2 activates transcription of PDE8A.,18358816;19736564;19884255;38951654
2586,UBE2D2,Generic enzyme,RNF4,Generic enzyme,Activation,Binding,x,"The E3 activity of SNURF (RNF4) was E2 enzyme-selective and SNURF was clearly active with HHR6B (RAD6B), UbcH5A, UbcH5B, MmUbc7, UbcH13 and E2-25K.",14987998;19549727;19690564
2587,Fra-1,Transcription factor,PDCD4,Generic binding protein,Inhibition,Transcription regulation,x,Fra-1 inhibits transcription of PDCD4.,31399545
2588,CTCF,Transcription factor,NEFH,Generic binding protein,Inhibition,Transcription regulation,x,CTCF inhibits transcription of NEFH.,29133437;32451376;36628218
2589,TRAF3,Generic binding protein,Smac/Diablo,Generic binding protein,Activation,Binding,x,TRAF3 physically interacts with Smac/Diablo and increases its activity.,17277885
2590,HSPA1A,Generic binding protein,VEGF-A,Receptor ligand,Activation,Binding,x,HSPA1A binds to and activates VEGF-A.,23109422
2591,TBLR1,Generic binding protein,ITF2,Transcription factor,Activation,Transcription regulation,x,TBLR1 constitutively occupied on the ITF2 promoter in colorectal cancer cell lines,18193033
2592,CBX4,Generic binding protein,SIP1 (ZFHX1B),Transcription factor,Inhibition,Transcription regulation,x,CBX4 co-inhibits transcription of SIP1 (ZFHX1B).,16061479;21885019;38816356
2593,RARgamma,Transcription factor,RAIG1,GPCR,Activation,Transcription regulation,x,Chromatin immunoprecipitation assay confirmed the binding of retinoic acid receptors alpha and gamma and retinoid X receptors alpha and beta to DR5III of RAIG1 gene in intact cells.,19279407
2594,WDR35,Generic binding protein,C14orf179,Protein,Activation,Binding,x,WDR35 binds to and activates C14orf179.,25908617;28514442
2595,IRF8,Transcription factor,FANCF,Generic binding protein,Activation,Transcription regulation,x,Gene encoding Fanconi F (FANCF) is an ICSBP(IRF8)-target-gene.,19801548
2596,CtBP2,Generic binding protein,ID1,Transcription factor,Inhibition,Transcription regulation,x,CtBP2 co-inhibits transcription of ID1.,32661086
2597,c-Jun,Transcription factor,LAMB1,Receptor ligand,Activation,Transcription regulation,x,c-Jun activates transcription of LAMB1.,33435161
2598,RelA (p65 NF-kB subunit),Transcription factor,PPAR-beta(delta),Transcription factor,Inhibition,Binding,x,p65 inhibits PPAR-beta(delta) activity through a physical interaction. This association prevents PPAR from binding to its response element and thereby inhibits the expression of PPAR-target genes.,14708613;15708355;15721863;15728586;15866483;18037904;21146504;29416623
2599,U1C,Generic binding protein,U1-70K,Generic binding protein,Activation,Binding,x,U1C binds to and activates U1-70K.,24146627;26124092;30865884;37057875
2600,YTHDF2,Generic binding protein,R-Ras,RAS - superfamily,Inhibition,Binding,x,YTHDF2 binds to and inhibits R-Ras.,36960869
2601,hnRNP D-like,Transcription factor,CD83,Protein,Activation,Binding,x,hnRNP D-like binds to and activates CD83.,23161671
2602,Cyclin D1,Generic binding protein,CENPP,Protein,Activation,Transcription regulation,x,"Cyclin D1 associates with genes involved in mitosis including Aurkb, Mlf1ip, Ckap2, Cenpp, Mlf1ip, and Zw10.",22307325
2603,c-Rel (NF-kB subunit),Transcription factor,C/EBPdelta,Transcription factor,Activation,Transcription regulation,x,"The in vitro protein-DNA binding assay showed that Sp1, c-Rel and c-Jun are the major protein binding to this PGN-response element of C/EBPdelta promoter,.",17273900;17965828;19270711
